"","Total.VolumeA","Speed_KM","OccupancyA"
"1",1104,108,-1
"2",888,109,-1
"3",1098,105,-1
"4",1080,105,-1
"5",954,109,-1
"6",816,109,-1
"7",1044,103,-1
"8",1038,108,-1
"9",1098,105,-1
"10",1140,108,-1
"11",1008,106,-1
"12",1104,109,-1
"13",1092,111,-1
"14",924,111,-1
"15",900,103,-1
"16",1116,105,-1
"17",1056,108,-1
"18",966,111,-1
"19",996,111,-1
"20",1158,109,-1
"21",960,108,-1
"22",972,103,-1
"23",1002,108,-1
"24",726,106,-1
"25",954,106,-1
"26",804,108,-1
"27",906,106,-1
"28",912,108,-1
"29",912,108,-1
"30",924,109,-1
"31",1056,106,-1
"32",474,103,-1
"33",1020,109,-1
"34",588,108,-1
"35",870,106,-1
"36",966,103,-1
"37",678,109,-1
"38",990,109,-1
"39",1044,108,-1
"40",930,108,-1
"41",828,105,-1
"42",984,105,-1
"43",942,106,-1
"44",930,106,-1
"45",954,113,-1
"46",864,108,-1
"47",918,106,-1
"48",1008,106,-1
"49",1026,105,-1
"50",978,106,-1
"51",864,109,-1
"52",918,108,-1
"53",948,109,-1
"54",996,106,-1
"55",870,108,-1
"56",1122,108,-1
"57",1008,106,-1
"58",1032,111,-1
"59",732,103,-1
"60",780,106,-1
"61",666,103,-1
"62",780,108,-1
"63",966,108,-1
"64",1176,105,-1
"65",1122,105,-1
"66",1188,108,-1
"67",1092,106,-1
"68",1338,106,-1
"69",1068,111,-1
"70",1182,109,-1
"71",912,109,-1
"72",1266,106,-1
"73",804,111,-1
"74",828,108,-1
"75",1206,111,-1
"76",948,109,-1
"77",1296,108,-1
"78",1194,106,-1
"79",852,108,-1
"80",1248,111,-1
"81",1428,113,-1
"82",1026,106,-1
"83",1194,108,-1
"84",1050,111,-1
"85",1206,111,-1
"86",1176,111,-1
"87",1212,108,-1
"88",1272,109,-1
"89",1158,108,-1
"90",1086,109,-1
"91",1056,113,-1
"92",1140,108,-1
"93",954,109,-1
"94",954,111,-1
"95",990,109,-1
"96",942,111,-1
"97",1104,111,-1
"98",798,111,-1
"99",1086,106,-1
"100",978,113,-1
"101",1068,113,-1
"102",978,108,-1
"103",906,113,-1
"104",738,111,-1
"105",774,111,-1
"106",852,113,-1
"107",966,111,-1
"108",660,113,-1
"109",726,108,-1
"110",1266,108,-1
"111",1476,106,-1
"112",1788,105,-1
"113",2028,105,-1
"114",1998,98,-1
"115",1554,100,-1
"116",2070,92,-1
"117",1968,80,-1
"118",1992,74,-1
"119",1848,74,-1
"120",1872,77,-1
"121",1716,56,-1
"122",1536,80,-1
"123",1872,71,-1
"124",744,32,-1
"125",1026,60,-1
"126",1800,66,-1
"127",1506,72,-1
"128",1488,51,-1
"129",1404,32,-1
"130",1416,35,-1
"131",1236,31,-1
"132",1242,31,-1
"133",1476,37,-1
"134",1188,48,-1
"135",1200,50,-1
"136",1326,35,-1
"137",1548,48,-1
"138",1584,64,-1
"139",1434,93,-1
"140",1614,106,-1
"141",1578,100,-1
"142",1362,87,-1
"143",1416,101,-1
"144",786,85,-1
"145",990,106,-1
"146",1206,106,-1
"147",1080,109,-1
"148",1176,108,-1
"149",1152,108,-1
"150",1092,103,-1
"151",1080,106,-1
"152",1062,108,-1
"153",972,108,-1
"154",1152,108,-1
"155",1074,106,-1
"156",1188,109,-1
"157",1008,108,-1
"158",1020,108,-1
"159",1044,106,-1
"160",1128,106,-1
"161",1122,103,-1
"162",1002,103,-1
"163",990,100,-1
"164",1074,103,-1
"165",798,106,-1
"166",1074,105,-1
"167",1092,108,-1
"168",894,105,-1
"169",912,103,-1
"170",1002,101,-1
"171",1050,106,-1
"172",1158,105,-1
"173",1002,103,-1
"174",978,106,-1
"175",870,106,-1
"176",870,103,-1
"177",1068,105,-1
"178",1062,106,-1
"179",1182,103,-1
"180",990,100,-1
"181",1038,103,-1
"182",972,101,-1
"183",1020,106,-1
"184",930,100,-1
"185",906,101,-1
"186",792,101,-1
"187",948,106,-1
"188",894,108,-1
"189",888,106,-1
"190",984,106,-1
"191",1008,106,-1
"192",900,108,-1
"193",954,105,-1
"194",840,105,-1
"195",978,101,-1
"196",792,106,-1
"197",1044,106,-1
"198",948,105,-1
"199",960,105,-1
"200",1038,105,-1
"201",918,105,-1
"202",1032,105,-1
"203",954,105,-1
"204",1188,108,-1
"205",936,106,-1
"206",828,106,-1
"207",912,108,-1
"208",1020,105,-1
"209",630,98,-1
"210",1068,105,-1
"211",726,108,-1
"212",1152,105,-1
"213",834,106,-1
"214",840,105,-1
"215",840,108,-1
"216",1170,106,-1
"217",792,105,-1
"218",912,106,-1
"219",1068,105,-1
"220",1002,105,-1
"221",1290,106,-1
"222",1398,106,-1
"223",1266,108,-1
"224",1242,108,-1
"225",1440,106,-1
"226",1284,108,-1
"227",1380,106,-1
"228",1260,105,-1
"229",1128,106,-1
"230",1104,106,-1
"231",1110,105,-1
"232",924,105,-1
"233",1266,106,-1
"234",1116,106,-1
"235",1350,108,-1
"236",1122,109,-1
"237",1002,106,-1
"238",1248,106,-1
"239",1332,106,-1
"240",1308,108,-1
"241",936,106,-1
"242",1200,108,-1
"243",762,108,-1
"244",1086,108,-1
"245",1200,106,-1
"246",1248,109,-1
"247",1320,108,-1
"248",1110,106,-1
"249",1308,105,-1
"250",1086,109,-1
"251",1104,105,-1
"252",1044,108,-1
"253",1068,106,-1
"254",1080,106,-1
"255",954,105,-1
"256",1068,109,-1
"257",780,108,-1
"258",888,105,-1
"259",936,106,-1
"260",702,106,-1
"261",864,108,-1
"262",852,106,-1
"263",648,108,-1
"264",702,108,-1
"265",840,109,-1
"266",486,106,-1
"267",1470,106,-1
"268",1428,106,-1
"269",1524,103,-1
"270",1614,101,-1
"271",2070,87,-1
"272",1848,95,-1
"273",1896,79,-1
"274",1836,100,-1
"275",1332,101,-1
"276",1512,105,-1
"277",1362,103,-1
"278",1602,106,-1
"279",1884,101,-1
"280",1686,101,-1
"281",1680,100,-1
"282",1902,92,-1
"283",1734,85,-1
"284",1884,92,-1
"285",1692,97,-1
"286",1662,97,-1
"287",1614,100,-1
"288",1488,103,-1
"289",1530,95,-1
"290",1458,105,-1
"291",1326,106,-1
"292",1092,105,-1
"293",1128,103,-1
"294",1128,105,-1
"295",1410,105,-1
"296",984,105,-1
"297",1554,105,-1
"298",1026,105,-1
"299",1350,106,-1
"300",1620,105,-1
"301",1098,103,-1
"302",1224,105,-1
"303",1218,105,-1
"304",1050,105,-1
"305",876,106,-1
"306",1368,106,-1
"307",1284,103,-1
"308",1278,105,-1
"309",1260,105,-1
"310",1344,105,-1
"311",1344,109,-1
"312",1392,106,-1
"313",1038,105,-1
"314",936,106,-1
"315",840,103,-1
"316",930,106,-1
"317",942,106,-1
"318",1116,109,-1
"319",1236,108,-1
"320",1014,106,-1
"321",1104,108,-1
"322",834,109,-1
"323",1332,106,-1
"324",780,108,-1
"325",1038,108,-1
"326",1170,106,-1
"327",684,106,-1
"328",1146,105,-1
"329",1128,101,-1
"330",1068,109,-1
"331",840,108,-1
"332",1104,106,-1
"333",1134,108,-1
"334",1056,105,-1
"335",1146,108,-1
"336",1392,109,-1
"337",1110,106,-1
"338",1170,108,-1
"339",1014,109,-1
"340",1092,109,-1
"341",1038,108,-1
"342",1116,111,-1
"343",1080,109,-1
"344",960,108,-1
"345",1008,108,-1
"346",1140,113,-1
"347",834,106,-1
"348",1218,106,-1
"349",1158,111,-1
"350",690,109,-1
"351",1050,111,-1
"352",1086,108,-1
"353",1092,108,-1
"354",1254,106,-1
"355",966,111,-1
"356",1068,106,-1
"357",882,105,-1
"358",1008,105,-1
"359",876,105,-1
"360",936,108,-1
"361",1038,101,-1
"362",978,103,-1
"363",1122,108,-1
"364",888,105,-1
"365",1074,106,-1
"366",810,106,-1
"367",1044,106,-1
"368",834,105,-1
"369",960,108,-1
"370",648,109,-1
"371",696,108,-1
"372",960,103,-1
"373",984,106,-1
"374",1044,108,-1
"375",972,108,-1
"376",1086,105,-1
"377",900,108,-1
"378",1008,105,-1
"379",1080,106,-1
"380",924,108,-1
"381",1092,109,-1
"382",1104,108,-1
"383",1092,109,-1
"384",1050,106,-1
"385",1110,106,-1
"386",1074,108,-1
"387",888,103,-1
"388",1020,106,-1
"389",978,109,-1
"390",942,108,-1
"391",972,105,-1
"392",1062,106,-1
"393",930,109,-1
"394",942,109,-1
"395",918,108,-1
"396",522,105,-1
"397",786,101,-1
"398",834,109,-1
"399",864,106,-1
"400",858,108,-1
"401",690,111,-1
"402",750,108,-1
"403",954,108,-1
"404",750,109,-1
"405",900,106,-1
"406",786,108,-1
"407",774,105,-1
"408",996,108,-1
"409",1014,109,-1
"410",1056,111,-1
"411",900,109,-1
"412",828,108,-1
"413",840,105,-1
"414",720,106,-1
"415",702,105,-1
"416",720,101,-1
"417",768,106,-1
"418",720,109,-1
"419",330,95,-1
"420",294,103,-1
"421",384,103,-1
"422",510,105,-1
"423",570,105,-1
"424",552,103,-1
"425",582,108,-1
"426",516,101,-1
"427",504,109,-1
"428",456,105,-1
"429",444,103,-1
"430",324,105,-1
"431",396,101,-1
"432",408,103,-1
"433",384,103,-1
"434",678,109,-1
"435",618,103,-1
"436",660,101,-1
"437",756,101,-1
